Time,Flight Number,Source,Flight Name,Aircraft,Status
7:50 PM,SG68,Jeddah (JED),SpiceJet,B738 (VT-SGY),Departed 8:08 PM
7:55 PM,SG6249,Mangalore (IXE),SpiceJet,B738 (VT-SGQ),Departed 8:05 PM
7:55 PM,6E998,Jaipur (JAI),IndiGo,A320 (VT-IEW),Departed 8:04 PM
8:00 PM,AI314,Delhi (DEL),Air India,32B,Estimated dep. 8:00 PM
8:00 PM,NH830,Tokyo (NRT),All Nippon Airways,B789 (JA892A),Departed 8:17 PM
8:00 PM,6E639,Ahmedabad (AMD),IndiGo,A20N (VT-IVE),Departed 8:14 PM
8:00 PM,6E841,Delhi (DEL),IndiGo,A20N (VT-IVY),Departed 8:15 PM
8:05 PM,6.00E+254,Hyderabad (HYD),IndiGo,A320 (VT-INY),Departed 8:27 PM
8:05 PM,6E1719,Doha (DOH),IndiGo,A320 (VT-IFR),Departed 8:16 PM
8:10 PM,6E5307,Chennai (MAA),IndiGo,A20N (VT-IVK),Departed 8:20 PM
8:20 PM,6E949,Bengaluru (BLR),IndiGo,A20N (VT-IZW),Departed 8:29 PM
8:25 PM,SG6920,Delhi (DEL),SpiceJet,B738 (VT-SYG),Departed 8:50 PM
8:25 PM,6.00E+129,Kozhikode (CCJ),IndiGo,A320 (VT-IAL),Departed 8:32 PM
8:30 PM,6E5153,Kolkata (CCU),IndiGo,A320 (VT-IHN),Departed 8:35 PM
8:30 PM,6E5377,Nagpur (NAG),IndiGo,A20N (VT-IVI),Departed 8:37 PM
8:40 PM,CX40,Hong Kong (HKG),Cathay Pacific Cargo,B744 (B-LIE),Departed 9:22 PM
8:40 PM,6.00E+81,Muscat (MCT),IndiGo,A320 (VT-IEM),Departed 8:43 PM
8:45 PM,UL144,Colombo (CMB),SriLankan Airlines,A320 (4R-ABL),Departed 8:53 PM
