TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
9:50 PM,SG6710,Delhi (DEL),SpiceJet,B738 (VT-SGG),Departed 10:45 PM
9:50 PM,6E825,Bengaluru (BLR),IndiGo,A320 (VT-IDS),Departed 10:32 PM
9:55 PM,UK950,Delhi (DEL),Vistara,A320 (VT-TTL),Departed 10:47 PM
10:00 PM,AI985,Muscat (MCT),Air India,A321 (VT-PPW),Departed 11:20 PM
10:00 PM,EK509,Dubai (DXB),Emirates,B77W (A6-EPZ),Departed 10:42 PM
10:00 PM,SV773,Jeddah (JED),Saudia,B77W (HZ-AK18),Departed 10:28 PM
10:10 PM,G8384,Goa (GOI),GoAir,A20N (VT-WGL),Departed 10:55 PM
10:10 PM,6E587,Kolkata (CCU),IndiGo,A20N (VT-ITH),Departed 11:42 PM
10:25 PM,AI50,Hyderabad (HYD),Air India,A319 (VT-SCR),Departed 10:53 PM
10:25 PM,6.00E+198,Delhi (DEL),IndiGo,A320 (VT-IGJ),Departed 10:50 PM
10:30 PM,AI945,Abu Dhabi (AUH),Air India,A20N (VT-EXI),Departed 11:08 PM
10:40 PM,UK986,Delhi (DEL),Vistara,A20N (VT-TNF),Departed 11:36 PM
10:45 PM,SG703,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJR),Departed 11:12 PM
10:45 PM,SG637,Ahmedabad (AMD),SpiceJet,B738 (VT-SXA),Departed 10:58 PM
10:50 PM,G8325,Bengaluru (BLR),GoAir,A20N (VT-WGT),Departed 11:53 PM
10:50 PM,G8363,Ahmedabad (AMD),GoAir,A320 (VT-WAK),Departed 12:41 AM
10:55 PM,SG679,Chennai (MAA),SpiceJet,B738 (VT-SYY),Departed 12:36 AM
11:00 PM,AI989,Kuwait City (KWI),Air India,A20N (VT-EXT),Departed 11:48 PM
11:05 PM,G8345,Delhi (DEL),GoAir,A20N (VT-WJD),Departed 12:17 AM
11:05 PM,I5471,Goa (GOI),AirAsia,A320 (VT-RED),Departed 11:15 PM
11:05 PM,SG13,Dubai (DXB),SpiceJet,B738 (VT-SZJ),Departed 11:44 PM
11:10 PM,CX696,Hong Kong (HKG),Cathay Pacific,B77W (B-KQY),Departed 11:39 PM
11:10 PM,G829,Muscat (MCT),GoAir,A20N (VT-WJB),Departed 12:03 AM
