Time,Flight Number,Destination,Flight Name,Aircraft,Status
9:50 PM,SG6710,Delhi (DEL),SpiceJet,B738 (VT-SYB),Departed 10:34 PM
9:50 PM,6E825,Bengaluru (BLR),IndiGo,A20N (VT-IJB),Departed 10:35 PM
9:55 PM,UK950,Delhi (DEL),Vistara,A320 (VT-TTN),Departed 10:40 PM
10:00 PM,AI985,Muscat (MCT),Air India,A321 (VT-PPA),Departed 10:37 PM
10:00 PM,EK509,Dubai (DXB),Emirates,B77W (A6-EPY),Departed 10:45 PM
10:10 PM,G8384,Goa (GOI),GoAir,A20N (VT-WJQ),Departed 10:49 PM
10:10 PM,6E587,Kolkata (CCU),IndiGo,A20N (VT-ITQ),Departed 11:00 PM
10:15 PM,AI989,Kuwait City (KWI),Air India,A20N (VT-EXG),Departed 11:03 PM
10:25 PM,AI50,Hyderabad (HYD),Air India,A319 (VT-SCL),Departed 10:47 PM
10:25 PM,6.00E+198,Delhi (DEL),IndiGo,A320 (VT-IHD),Departed 10:55 PM
10:40 PM,UK986,Delhi (DEL),Vistara,A320 (VT-TTD),Departed 11:29 PM
10:45 PM,SG637,Ahmedabad (AMD),SpiceJet,B738 (VT-SYZ),Departed 11:37 PM
10:45 PM,SG703,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJU),Departed 11:43 PM
10:50 PM,G8325,Bengaluru (BLR),GoAir,A320 (VT-GOP),Departed 11:17 PM
10:50 PM,G8363,Ahmedabad (AMD),GoAir,A20N (VT-WGD),Departed 12:13 AM
