Time,FlightNumber,Source,Flight Name,Aircraft,Status
3:40 PM,AI696,Varanasi (VNS),Air India,A20N (VT-EXS),Landed 3:47 PM
3:40 PM,G8304,Chennai (MAA),GoAir,A320 (VT-GOR),Landed 3:43 PM
3:45 PM,KQ210,Nairobi (NBO),Kenya Airways,B738 (5Y-CYD),Landed 3:21 PM
3:45 PM,6E712,Goa (GOI),IndiGo,A320 (VT-IHK),Landed 3:11 PM
3:50 PM,AI612,Jaipur (JAI),Air India,A321 (VT-PPU),Landed 3:26 PM
3:50 PM,6E5915,Allahabad (IXD),IndiGo,A320 (VT-IEV),Landed 3:31 PM
3:55 PM,G8402,Lucknow (LKO),GoAir,A20N (VT-WGJ),Landed 3:53 PM
3:55 PM,RA201,Kathmandu (KTM),Nepal Airlines,A320 (9N-AKW),Landed 4:16 PM
4:00 PM,UK614,Udaipur (UDR),Vistara,B738 (VT-TGG),Landed 3:41 PM
4:00 PM,UK910,Goa (GOI),Vistara,A20N (VT-TNW),Landed 3:34 PM
4:05 PM,SG6284,Patna (PAT),SpiceJet,B738 (VT-SGJ),Landed 4:11 PM
4:05 PM,6.00E+64,Dubai (DXB),IndiGo,A320 (VT-IGW),Landed 3:42 PM
4:05 PM,6E813,Goa (GOI),IndiGo,A20N (VT-ITD),Landed 3:49 PM
4:10 PM,AI317,Delhi (DEL),Air India,A20N (VT-EXK),Landed 4:42 PM
4:15 PM,SG64,Dhaka (DAC),SpiceJet,B738 (VT-SZJ),Landed 4:47 PM
4:20 PM,SG6430,Kanpur (KNU),SpiceJet,737,Unknown
4:20 PM,6E389,Hyderabad (HYD),IndiGo,A320 (VT-IDQ),Landed 4:20 PM
4:20 PM,6E598,Coimbatore (CJB),IndiGo,A20N (VT-IVA),Landed 4:02 PM
4:25 PM,AI651,Visakhapatnam (VTZ),Air India,A321 (VT-PPT),Landed 4:20 PM
4:30 PM,AI679,Coimbatore (CJB),Air India,A321 (VT-PPD),Landed 4:12 PM
4:30 PM,G82503,Ranchi (IXR),GoAir,A20N (VT-WGD),Landed 4:00 PM
4:30 PM,6E6128,Bengaluru (BLR),IndiGo,A20N (VT-IVN),Landed 4:34 PM
4:35 PM,SG2876,Kandla (IXY),SpiceJet,DH8D (VT-SUP),Unknown
4:40 PM,AI626,Lucknow (LKO),Air India,A20N (VT-EXF),Landed 3:56 PM
4:40 PM,G8336,Delhi (DEL),GoAir,A320 (VT-GOL),Landed 5:06 PM
4:40 PM,UK822,Chennai (MAA),Vistara,B738 (VT-TGB),Landed 4:12 PM
4:40 PM,6E753,Udaipur (UDR),IndiGo,A320 (VT-INV),Landed 4:39 PM
4:50 PM,9I628,Indore (IDR),Alliance Air,ATR,Unknown
4:50 PM,SG7063,Delhi (DEL),SpiceXpress,B737 (VT-SFB),Landed 5:17 PM
5:00 PM,G8586,Patna (PAT),GoAir,A20N (VT-WGQ),Landed 4:30 PM
5:00 PM,UK132,Colombo (CMB),Vistara,A20N (VT-TNU),Landed 4:37 PM
5:05 PM,SG6,Dubai (DXB),SpiceJet,B738 (VT-SGY),Landed 4:50 PM
5:05 PM,6.00E+189,Delhi (DEL),IndiGo,A320 (VT-IFN),Landed 5:04 PM
5:10 PM,6E579,Varanasi (VNS),IndiGo,A20N (VT-ITT),Landed 5:00 PM
5:20 PM,6E361,Bengaluru (BLR),IndiGo,A320 (VT-IDS),Landed 5:18 PM
5:20 PM,6E463,Chandigarh (IXC),IndiGo,A20N (VT-IJL),Landed 4:57 PM
5:25 PM,AI672,Chennai (MAA),Air India,A20N (VT-EXR),Landed 5:30 PM
5:25 PM,9I654,Shirdi (SAG),Alliance Air,ATR,Canceled
5:40 PM,SG415,Gorakhpur (GOP),SpiceJet,B738 (VT-SXB),Landed 5:09 PM
5:40 PM,UK933,Delhi (DEL),Vistara,A20N (VT-TNP),Landed 5:35 PM
5:40 PM,6E5341,Chennai (MAA),IndiGo,A20N (VT-IZR),Landed 5:22 PM
5:45 PM,EK502,Dubai (DXB),Emirates,B77L (A6-EWJ),Landed 5:11 PM
5:45 PM,SG247,Varanasi (VNS),SpiceJet,B738 (VT-SYJ),Landed 6:11 PM
5:45 PM,6E5353,Kolkata (CCU),IndiGo,A320 (VT-IGL),Landed 5:39 PM
5:50 PM,I5559,Delhi (DEL),AirAsia,A320 (VT-SIN),Landed 5:42 PM
5:50 PM,I5313,Chennai (MAA),AirAsia,A320 (VT-PNQ),Landed 5:38 PM
5:50 PM,6E1784,Male (MLE),IndiGo,A320 (VT-IFC),Landed 6:01 PM
6:00 PM,G8287,Srinagar (SXR),Go Air,32A,Unknown
6:05 PM,AI644,Udaipur (UDR),Air India,A20N (VT-CIQ),Landed 6:22 PM
